file,gate,pre,offon,target_seconds,best_seconds,delta_s,tempo_ratio
tests/equiv/inputs/ym2413_3ch_test.vgm,4630,32,24,4.088345,4.088299,-0.000046,0.999989
analysis/20251001_154214_tune_gate/wav/ym2413_3ch_test_gate4630.wav,,32,24,,,,
tests/equiv/inputs/ym2413_block_boundary.vgm,5483,32,24,4.405306,4.405578,+0.000272,1.000062
analysis/20251001_154910_tune_gate/wav/ym2413_block_boundary_gate5483.wav,,32,24,,,,
tests/equiv/inputs/ym2413_chords_mix.vgm,11604,32,24,3.021020,2.902857,-0.118163,0.960886
analysis/20251001_155614_tune_gate/wav/ym2413_chords_mix_gate11604.wav,,32,24,,,,
tests/equiv/inputs/ym2413_highlow_range.vgm,5490,32,24,3.153991,3.154014,+0.000023,1.000007
analysis/20251001_160229_tune_gate/wav/ym2413_highlow_range_gate5490.wav,,32,24,,,,
tests/equiv/inputs/ym2413_legato_patch_mix.vgm,11604,32,24,7.224807,1.146780,-6.078027,0.158728
analysis/20251001_160850_tune_gate/wav/ym2413_legato_patch_mix_gate11604.wav,,32,24,,,,
tests/equiv/inputs/ym2413_patch_change_midnote.vgm,11604,32,24,10.861905,3.276145,-7.585760,0.301618
analysis/20251001_161454_tune_gate/wav/ym2413_patch_change_midnote_gate11604.wav,,32,24,,,,
tests/equiv/inputs/ym2413_redundant_fnum_writes.vgm,7311,32,24,2.686893,2.686780,-0.000113,0.999958
analysis/20251001_162046_tune_gate/wav/ym2413_redundant_fnum_writes_gate7311.wav,,32,24,,,,
tests/equiv/inputs/ym2413_release_retrigger.vgm,11604,32,24,3.771293,3.354558,-0.416735,0.889498
analysis/20251001_162749_tune_gate/wav/ym2413_release_retrigger_gate11604.wav,,32,24,,,,
tests/equiv/inputs/ym2413_retrigger.vgm,1889,32,24,0.985170,0.985034,-0.000136,0.999862
analysis/20251001_163340_tune_gate/wav/ym2413_retrigger_gate1889.wav,,32,24,,,,
tests/equiv/inputs/ym2413_rhythm_mode_basic.vgm,11604,32,24,6.273855,5.940499,-0.333356,0.946866
analysis/20251001_164046_tune_gate/wav/ym2413_rhythm_mode_basic_gate11604.wav,,32,24,,,,
tests/equiv/inputs/ym2413_rhythm_mode_toggle.vgm,5294,32,24,4.221746,4.221451,-0.000295,0.999930
analysis/20251001_164647_tune_gate/wav/ym2413_rhythm_mode_toggle_gate5294.wav,,32,24,,,,
tests/equiv/inputs/ym2413_scale_chromatic.vgm,10991,32,24,6.524104,6.524240,+0.000136,1.000021
analysis/20251001_165327_tune_gate/wav/ym2413_scale_chromatic_gate10991.wav,,32,24,,,,
tests/equiv/inputs/ym2413_scale_rom1.vgm,10991,32,24,4.021542,4.021701,+0.000159,1.000040
analysis/20251001_170004_tune_gate/wav/ym2413_scale_rom1_gate10991.wav,,32,24,,,,
tests/equiv/inputs/ym2413_short_pulses.vgm,921,32,24,0.501338,0.501179,-0.000159,0.999683
analysis/20251001_170626_tune_gate/wav/ym2413_short_pulses_gate921.wav,,32,24,,,,
